작업담당부서,원본파일,NO.,전체NO.,기업명,특이사항,사업자등록번호,대표자명,설립일자,업종,상시종업원수,사업장 주소,총자산,,,자기자본,,,매출액,,,영업이익,,,당기순이익,,,자기자본 전액 잠식 여부,"바사등급, 최종등급 수준",특허건수,지원사업,1. 금융테스트베드 비용지원,,,,,,,2. D-테스트베드,,,,,,,3. 책임보험료,,,,,,,4. 핀테크보안,,,,,,,5. 금융클라우드,,,,,,,6. 핀테크 멘토링,,,,,,,7. 큐브(업무공간제공),,,,,,,8. 디지털 금융기술 내재화,,,,,,,9. 해외 진출 컨설팅,,,,,,,10. 해외진출 특화 프로그램(전시),,,,,,,11. 일자리 매칭지원,,,,,,,12. 핀테크 인턴십,,,,,,,13. 지방 핀테크기업 입주지원,,,,,,
창업지원부,편람_2025,29,10,(주)핀다,,161-87-00209,이혜민,2015-09-25,데이터베이스 및 온라인 정보제공업,97,서울특별시 강남구 테헤란로 518 4층 (대치동),"21,495","41,316","41,629","10,069","34,755","37,869","43,407","28,294","29,808","-18,958","-13,068","-6,266","-21,622","-24,333","-4,279", - ,E2,1,9,1,1,,1,1,1,1,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,30,11,페이민트(주),,220-88-75476,김영환,2014-03-12,시스템 소프트웨어 개발 및 공급업,16,서울특별시 성동구 성수일로 77 (성수동1가) 901호,"4,402","4,452", - ,"4,311","4,078", - ,"1,370","2,169", - ,-632,-385, - ,-382,-232, - , - ,E2,1,7,1,1,1,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,33,12,(주)푸드트래블,,331-86-01149,박상화,2018-10-04,그 외 기타 특정 상품 중개업,22,부산광역시 부산진구 황령대로 24 301호 (범천동),"1,364","1,815","2,566",559,539,235,"3,503","4,866","5,275",329,20,-337,381,16,-301, - ,E4, - ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,
창업지원부,편람_2025,34,13,(주)지엔이테크홀딩스,,429-86-02746,-,2023-02-24,응용 소프트웨어 개발 및 공급업,3,-, - , - ,9, - , - ,-79, - , - ,318, - , - ,-18, - , - ,-20, - ,E5, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,35,14,(주)옥타솔루션,,132-86-09767,-,2012-09-14,컴퓨터 프로그래밍 서비스업,12,"서울 영등포구 양평로22길 21 1013,1014호 (양평동5가, 코오롱디지털타워)","2,930","2,765","3,057","1,272",842,959,"3,657","2,465","2,061",206,-436,-293,177,-430,117, - ,E7, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,36,15,에스시티(주),,458-86-01309,이재진,2018-10-08,시스템 소프트웨어 개발 및 공급업,6,세종특별자치시 조치원읍 세종로 2296 201호,817,892,890,510,682,602,726,691,275,13,19,-101,13,20,-80, - ,E6, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,37,16,(주)리턴트루,,124-86-65720,이상준,2008-04-08,응용 소프트웨어 개발 및 공급업,4,"경기도 수원시 권선구 일월천로4번길 53 , 2층(구운동)",229,191,153,34,87,-142,411,602,301,-95,24,-218,-11,53,-229, - ,E8, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,38,17,(주)에잇바이트,,220-88-74685,김덕상,2014-02-21,응용 소프트웨어 개발 및 공급업,9,"서울특별시 강남구 선릉로108길 9 ,4층(삼성동,신원빌딩)",908,"1,296","1,290",228,287,344,574,"1,221","1,129",-279,55,88,-185,59,58, - ,E7,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,41,18,(주)액션파워,,139-81-44004,조홍식,2016-01-12,응용 소프트웨어 개발 및 공급업,26,서울특별시 관악구 남부순환로 1838 (봉천동) 11층,"10,940","8,652","3,396","10,366","5,773",297,"1,083","1,610","1,436","-3,228","-4,895","-5,509","-2,970","-4,600","-5,482", - ,E5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,42,19,(주)블록체인글로벌,,265-81-00775,김호영,2017-06-28,응용 소프트웨어 개발 및 공급업,16,"서울특별시 영등포구 여의도동 여의나루로 57 (여의도동,신송센타빌딩)10층","2,204","6,133","5,248","1,784","5,756","4,863","1,399",606,381,190,-750,"-1,420",195,-728,-807, - ,E3, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,43,20,(주)와이어바알리,,352-88-00331,유중원,2016-03-16,그 외 기타 금융 지원 서비스업,54,서울특별시 강남구 선릉로 511 11층 1101호(역삼동),"12,196","13,930","30,426","3,616","1,745","7,554","10,719","13,214","14,546","-6,583",478,"1,926","-1,608","-2,786","5,444", - ,E3, - ,5,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,44,21,(주)모니터랩,,214-87-66413,-,2005-02-22,시스템 소프트웨어 개발 및 공급업,94,"서울특별시 구로구 디지털로27가길 27, 8층 1호 (구로동) 1동 8층 801호","21,131","41,907","44,522","13,762","35,492","37,543","14,032","13,998","14,755","1,646",345,-293,718,"-1,253","1,982", - ,E2, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,45,22,(주)빅밸류,,502-87-00114,구름,2015-05-21,시스템 소프트웨어 개발 및 공급업,49,"대구광역시 북구 호암로 51 (침산동, 대구창조경제혁신센터)","3,247","3,804","6,885","2,661","2,833","6,139","1,185","3,555","5,018","-1,684",130,-673,"-1,675",173,-991, - ,E2, - ,8,1,1,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,47,23,(주)크리젠솔루션,,220-87-32198,-,2006-06-27,응용 소프트웨어 개발 및 공급업,34,"서울 구로구 디지털로 306, 1006호, 1007호 (구로동,대륭포스트타워)","9,360","10,383","10,850","4,136","5,213","5,961","3,501","4,248","3,502",958,"1,310",735,"1,059","1,076",749, - ,E2, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,48,24,(주)그레이드헬스체인,,205-81-42749,-,2019-05-22,응용 소프트웨어 개발 및 공급업,27,"서울 마포구 큰우물로 64, 5층 (용강동)","6,417","11,491","9,179","1,905",-316,-982,209,704,"1,717","-3,109","-2,166","-1,014","-3,191","-2,468",655, - ,E4, - ,9,,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,49,25,(주)아이쿠카,,618-81-28526,방남진,2023-02-15,응용 소프트웨어 개발 및 공급업,14,부산광역시 남구 문현금융로 40 역외기업-7호(문현동), - , - ,"2,916", - , - ,"2,302", - , - ,577, - , - ,"-1,789", - , - ,-840, - ,E3,1,13,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,1,1,,,,,,,,1,,,,1,,1,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,
창업지원부,편람_2025,51,26,(주)지앤넷,,120-86-11824,서광희,2000-09-21,응용 소프트웨어 개발 및 공급업,21,서울특별시 중구 소공로 116 1301호(소공동),"1,000",588, - ,"-6,338","-2,796", - ,"1,662","2,301", - ,"-1,441","-1,341", - ,"-2,009","-1,561", - , - ,E8, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,53,27,(주)씨즈데이터,,289-88-01105,정승인,2018-12-03,시스템 소프트웨어 개발 및 공급업,12,"서울특별시 영등포구 의사당대로 83 , 20층 102호 (여의도동, 오투타워)","2,075","2,464","2,452",189,434,374,"1,272",802,"1,428",-482,"-1,482",-294,-488,"-1,404",-60, - ,E4, - ,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,54,28,(주)아이지넷,,124-87-49810,김창균,2014-05-16,데이터베이스 및 온라인 정보제공업,44,경기도 성남시 분당구 삼평동 판교로255번길 9 (삼평동) 9-22 우림w시티 315-1,"10,906","8,667","6,756","-34,086","-46,023","4,484",323,"3,280","6,535","-4,473","-2,799","-2,294","-18,789","-12,123","-2,139", - ,E5, - ,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,55,29,파스칼랩(주),,191-88-02016,조혁제,2021-06-10,데이터베이스 및 온라인 정보제공업,0,전라북도 전주시 덕진구 여의동2가 기린대로 886 미래기술혁신센터 301호,8, - , - ,8, - , - , - , - , - ,-14, - , - ,-2, - , - , - ,E6, - ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,56,30,한국정보통신(주),,116-81-19948,임명수,1986-05-09,그 외 기타 전기 통신업,261,"서울특별시 중구 세종대로 39 , 7층(남대문로4가)","391,311","436,633","458,101","241,741","269,952","306,612","590,758","717,339","782,229","29,041","36,921","39,183","23,181","31,576","44,589", - ,E1, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,57,31,(주)뱅크샐러드,,105-87-73978,김태훈,2012-07-02,데이터베이스 및 온라인 정보제공업,129,"서울 마포구 마포대로 173 , 1828호(공덕동,마포현대하이엘)","63,076","42,401","38,024","58,615","37,917","30,790","4,370","6,770","19,578","-46,056","-24,549","-14,808","-45,535","-23,500","-13,570", - ,E4, - ,12,,,1,,1,1,1,,,,,,,,,,1,,1,1,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,58,32,(주)소프트파워,,220-87-35690,김수랑,2006-09-07,컴퓨터 프로그래밍 서비스업,18,"서울특별시 마포구 상암동 성암로 189 (상암동,중소기업 dmc 타워) 604호","4,704","4,850","5,054","1,220","1,234","1,242","1,226","1,532","1,313",29,18,36,12,13,9, - ,E9, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
