작업담당부서,원본파일,NO.,전체NO.,기업명,특이사항,사업자등록번호,대표자명,설립일자,업종,상시종업원수,사업장 주소,총자산,,,자기자본,,,매출액,,,영업이익,,,당기순이익,,,자기자본 전액 잠식 여부,"바사등급, 최종등급 수준",특허건수,지원사업,1. 금융테스트베드 비용지원,,,,,,,2. D-테스트베드,,,,,,,3. 책임보험료,,,,,,,4. 핀테크보안,,,,,,,5. 금융클라우드,,,,,,,6. 핀테크 멘토링,,,,,,,7. 큐브(업무공간제공),,,,,,,8. 디지털 금융기술 내재화,,,,,,,9. 해외 진출 컨설팅,,,,,,,10. 해외진출 특화 프로그램(전시),,,,,,,11. 일자리 매칭지원,,,,,,,12. 핀테크 인턴십,,,,,,,13. 지방 핀테크기업 입주지원,,,,,,
창업지원부,편람_2025,336,242,(주)이투유,"다음의 사유로 불완전한 BASA 보고서가 제공됩니다.
(사유:데이터부족)",383-87-01545,-,2020-02-05,그 외 기타 금융 지원 서비스업,13,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,337,243,(주)퀀팃,,572-81-01333,한덕희,2019-01-03,응용 소프트웨어 개발 및 공급업,49,경기도 성남시 수정구 대왕판교로 815,"7,667","24,797","16,749",220,"16,769","8,410","1,840","3,221",607,"-4,149","-3,912","-8,596","-5,048","-3,913","-8,527", - ,E1, - ,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,,,,,,,,
창업지원부,편람_2025,338,244,(주)넥솔,,711-87-01420,손성일,2019-02-19,응용 소프트웨어 개발 및 공급업,9,"부산광역시 부산진구 황령대로 24 , 304(범천동)","1,957","2,214","2,152",701,731,-106,"1,518","4,241",756,37,42,-822,16,30,-837, - ,E6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,
창업지원부,편람_2025,339,245,(주)끌림이노베이션,,557-88-00483,-,2016-11-09,응용 소프트웨어 개발 및 공급업,8,-,"2,165","3,084","4,289",310,85,-39,128,309,580,-336,-213,-121,-322,-225,-124,자기자본 전액 잠식 & 당기순이익 연속 2개년 부,E8, - ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,340,246,(주)컬리페이,#NAME?,473-81-00089,-,2015-04-14,그 외 기타 금융 지원 서비스업,4,경기 성남시 분당구 판교로289번길 20 스타트업캠퍼스 3동 4층 413호,"38,382","51,347","57,449","2,992",175,"3,389","36,659","47,680","52,822",-667,"-3,038",-201,-598,"-2,816",329, - ,E7, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,341,247,보임테크놀러지(주),,110-81-24818,김상범,1976-03-25,사무용 가구 및 기기 도매업,14,서울특별시 구로구 디지털로33길 12 (구로동),"22,894","24,899","19,800","13,065","13,343","12,422","18,426","32,017","27,508",-318,153,-401,-789,59,-589, - ,E3, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,342,248,(주)키페어,,129-86-65652,이정엽,2011-09-08,시스템 소프트웨어 개발 및 공급업,1,서울특별시 강남구 역삼동 논현로87길 19 스퀘어736빌딩 6층,"2,505","2,463","1,770","1,921","1,094",374,801,"1,427",24,"-1,141","-1,295","-1,117","-1,379",-827,-720, - ,E7,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,343,249,(주)스텔스솔루션,,305-86-39705,-,2017-11-20,유선 통신장비 제조업,7,"서울 영등포구 국제금융로2길 17, 4층, 5층, 6층, 7층 (여의도동)","1,611","2,005","2,673",884,985,"1,277",767,677,611,-300,-334,148,152,101,290, - ,E6, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,344,250,(주)에스앤피랩,#NAME?,889-87-01698,이재영,2019-12-23,데이터베이스 및 온라인 정보제공업,34,서울특별시 송파구 중대로 135 10층 1003호(가락동),"2,834","1,703","3,281","1,942",658,716,849,"2,581","3,599","-2,841","-1,887",64,-206,"-2,285",58, - ,E6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,345,251,(주)이노핀,"다음의 사유로 불완전한 BASA 보고서가 제공됩니다.
(사유:데이터부족)",123-86-44800,손상현,2014-07-29,시스템 소프트웨어 개발 및 공급업,3,"서울특별시 금천구 디지털로 178 비동 오비-328호(가산동,현대지식산업센터 가산퍼블릭)", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,346,252,(주)아톤,,107-81-71649,김종서,1999-10-13,시스템 소프트웨어 개발 및 공급업,100,서울특별시 영등포구 여의대로 108 (여의도동) 26층,"114,587","132,723","118,671","67,987","78,267","81,486","36,752","42,976","34,890","7,821","8,936","8,819","16,233","8,479","6,526", - ,E3,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,347,253,(주)섹타나인,,113-86-10017,김대일,2006-12-26,컴퓨터시스템 통합 자문 및 구축 서비스업,0,경기 성남시 중원구 사기막골로31번길 18 (상대원동),"302,724","312,345","324,297","82,890","85,004","86,215","211,754","232,437","246,731","1,235","-2,592","-2,993","3,289","2,114","1,210", - ,E3, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,348,254,(주)더존비즈온,,134-81-08473,김용우,1977-08-20,컴퓨터 프로그래밍 서비스업,1466,강원특별자치도 춘천시 남산면 버들1길 130 (수동리),"823,154","847,012","930,849","425,425","423,676","466,672","297,680","332,099","356,017","45,165","70,338","93,752","23,213","36,834","62,357", - ,E2, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,349,255,(주)씽크에이티,,113-86-06003,한형덕,2006-06-08,컴퓨터 프로그래밍 서비스업,11,"서울 구로구 디지털로 272 ,1001호(구로동,한신아이티타워)","1,380", - ,"1,506","-1,119", - ,-969,"3,736", - ,"2,970",-234, - ,-236,-184, - ,-271, - ,E7, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,350,256,(주)어니스트에이아이,,184-81-00063,서상훈,2015-02-10,그 외 기타 금융 지원 서비스업,51,"서울특별시 영등포구 여의도동 여의대로 24 (여의도동,전국경제인연합회회관)","27,097","24,334","21,006","7,624","4,287","-1,546","5,118","2,555","1,658","-4,572","-4,729","-4,285","-11,309","-8,569","-7,328",자기자본 전액 잠식 & 당기순이익 연속 2개년 부,E8, - ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,351,257,(주)아이엠폼,,220-87-83061,김택원,2009-04-13,응용 소프트웨어 개발 및 공급업,21,서울특별시 강남구 선릉로120길 5 (삼성동),"10,067","8,927","9,385","4,908","3,943","2,982","9,136","7,969","8,180",-726,-829,-799,-707,-964,-961, - ,E6, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,352,258,(주)클러쉬,#NAME?,113-86-94225,-,2015-01-12,응용 소프트웨어 개발 및 공급업,134,"서울 구로구 디지털로 288, 401호 (구로동,대륭포스트타워1차)","2,089","3,101","20,807",403,464,"9,928","9,639","13,234","8,226",-346,295,"-2,062",-271,399,"-2,635", - ,E3, - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,353,259,(주)드림시큐리티,,107-88-22434,범진규,2014-06-25,시스템 소프트웨어 개발 및 공급업,203,"서울특별시 성동구 아차산로 126 ,10층(성수동2가)","140,110","134,595","123,351","73,446","80,138","73,042","30,224","30,243","30,392","3,089","3,578","1,003","-1,990","6,570",448, - ,E5,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,354,260,(주)티소프트,,378-86-00042,-,2015-04-01,응용 소프트웨어 개발 및 공급업,25,"서울 영등포구 양평로 68, 11층 (당산동6가,디엔빌딩)","2,250","2,677","3,537",903,"1,459","1,768","9,532","6,163","8,298",380,562,316,388,556,310, - ,E4, - ,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,355,261,(주)유니타스,,839-88-00750,조재덕,2017-06-02,시스템 소프트웨어 개발 및 공급업,21,"서울특별시 영등포구 양산로 53 1102호(양평동3가, 월드메르디앙비즈센터)","3,267", - ,"4,594","2,963", - ,"2,937","5,647", - ,"6,140",624, - ,24,657, - ,54, - , E4 , - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,356,262,(주)그로잉랩,,890-81-02356,박정재,2021-06-14,응용 소프트웨어 개발 및 공급업,3,서울특별시 마포구 마포대로 122 1209(공덕동),243,271,65,233,264,54, - ,9, - ,-217,-399,-248,-113,-119,-210, - , E5 , - ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,357,263,(주)프로핏,신용관리정보 보유,548-87-00293,,2016-04-06,데이터베이스 및 온라인 정보제공업,9,"서울 강남구 테헤란로 445, 8층 (삼성동,본솔빌딩)","15,507","23,253","25,678","5,707","6,249","2,554","3,097","2,812","1,389",87,9,-577,544,125,"-3,696", - , E10 , - ,2,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,358,264,인포텍코퍼레이션(주),,390-88-00371,김관식,2016-04-11,응용 소프트웨어 개발 및 공급업,32,"서울특별시 성동구 성수일로8길 5 A동 1111호, 1112호(성수동2가, 서울숲 SK V1 TOWER)","5,772","7,494","9,791","4,926","6,794","8,934","4,852","5,924","6,168","1,593","1,878","2,153","1,464","1,744","2,075", - , E1 , - ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,359,265,(주)천명소프트,,214-88-24818,이종훈,2008-02-28,시스템 소프트웨어 개발 및 공급업,48,"서울특별시 금천구 디지털로9길 32 , B동 15층 1501호, 1502호, 1503호 (가산동, 갑을그레이트밸)","4,487","5,129","5,309","2,127","2,234","2,353","6,654","6,655","7,613",137,211,232,70,107,118, - , E4 ,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,360,266,(주)모핀,,885-88-01067,,2018-04-18,컴퓨터 프로그래밍 서비스업,3,-,435,370,306,271,56,-330,30,30,68,-180,-647,-515,-171,-415,-386, 자기자본 전액 잠식 & 당기순이익 연속 2개년 부 , E9 , - ,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,361,267,(주)에버스핀,,119-86-84569,,2014-02-28,시스템 소프트웨어 개발 및 공급업,49,서울 영등포구 국제금융로6길 33 12층,"37,047","28,893","39,320","28,585","21,263","32,839","4,110","7,203","8,545","-3,035",320,506,"3,820",-771,"1,288", - , E1 ,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,362,268,(주)다해줘테크,,613-86-00741,,2017-05-22,응용 소프트웨어 개발 및 공급업,1,"서울 노원구 공릉로 232, 331호 (공릉동,서울과학기술대학교 제2창업보육센터)",649,793,813,524,530,542,490,250,406,237,51,16,67,6,12, - , E8 , - ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,363,269,블루월넛(주),,678-86-00578,,2016-12-08,그 외 기타 금융 지원 서비스업,42,서울 영등포구 국회대로66길 3 (여의도동),"94,405","116,952","127,384","10,415","29,773","28,310","100,030","113,880","163,158",-657,-412,-717,-768,-420,"-1,298", - , E6 , - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,364,270,(주)팀에브리웨어,,723-86-01085,이다한,2018-05-25,응용 소프트웨어 개발 및 공급업,2,-,407,655,945,148,-55,261,945,789,732,147,-369,73,168,-204,53, - , E6 , - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,366,271,(주)다파다,,865-81-02141,-,2021-06-17,-,1,-,27,32,23,-26,-19,-38, - ,26,9,-69,-31,-17,-44,-13,-18, 자기자본 전액 잠식 & 당기순이익 연속 2개년 부 ,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,
창업지원부,편람_2025,367,272,(주)보난자랩,,252-87-02648,-,2022-09-29,시스템 소프트웨어 개발 및 공급업,3,-, - ,118,142, - ,110,129, - ,212,278, - ,9,11, - ,8,19, - , E3 , - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,368,273,(주)비피그룹,,612-81-54045,박항석,2019-08-23,시스템 소프트웨어 개발 및 공급업,14,"서울특별시 영등포구 경인로 775 , 1동 301호(문래동3가)",803,"1,524","1,848",571,882,"1,064","1,883","2,176","1,725",8,211,92,52,214,182, - , E5 ,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,370,274,(주)에이엔비코리아,,427-87-01049,,2018-06-25,시스템 소프트웨어 개발 및 공급업,2,-,"3,373","2,505", - ,"3,069","2,196", - ,116,44, - ,-625,-832, - ,-680,-872, - , - , E3 , - ,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,371,275,(주)빅트리,,140-81-95478,임홍순,2015-02-03,응용 소프트웨어 개발 및 공급업,3,"서울특별시 중구 퇴계로 369 , 5층(신당동)","1,389","1,335","1,335",500,527,548,753,800,577,17,66,69,23,28,21, - , E6 , - ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
창업지원부,편람_2025,372,276,타이거 인공지능 (TIGER A.I.),,110-47-36979,하대수,2019-08-19,"체조, 육상 및 체력 단련용 장비 제조업",4,부산광역시 해운대구 우동 센텀중앙로 55 9층(부산정보산업진흥원 가상증강현실 융복합센터 905호),246,424,767,10,212,264,374,378,291,-449,-114,-274,10,78,28, - , E4 ,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,374,277,(주)파비스,,124-81-94894,,2002-04-02,"전자기 측정, 시험 및 분석기구 제조업",49,"서울 금천구 가산디지털1로 233, 에이스하이엔드타워9 9층 910호","8,675","9,911","11,258","2,583","3,114","3,406","8,297","13,683","15,525",-38,822,503,-168,532,292, - , E3 ,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,375,278,(주)메타넷핀테크,,105-87-16749,,2008-01-24,컴퓨터시스템 통합 자문 및 구축 서비스업,17,"서울 종로구 종로33길 15 (연지동,연강빌딩)","4,688","4,561","4,595","4,250","4,335","4,375","3,587","1,905","1,540",340,14,183,368,85,17, - , E1 , - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,376,279,콴텍(주),,114-86-80501,이상근,2010-04-15,응용 소프트웨어 개발 및 공급업,5,"서울특별시 영등포구 여의대로 14 , 14층(여의도동)","13,975", - , - ,"1,068", - , - ,115, - , - ,"-2,625", - , - ,"-3,993", - , - , 자기자본 전액 잠식 & 당기순이익 연속 2개년 부 , E8 , - ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
창업지원부,편람_2025,377,280,(주)헥토데이터,기업명 변경: ㈜코드에프로 변경,113-86-32627,김동환,2009-09-14,응용 소프트웨어 개발 및 공급업,49,서울특별시 중구 청계천로 100 (수표동) 서관 3층,"4,627","3,867","10,175","2,915","1,101","3,424","3,501","4,599","4,692","-2,448","-3,064","-2,262","-2,390","-1,814","-3,672", - , E5 , - ,5,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,379,281,(주)아스트론시큐리티,신용보증부실사유 발생,385-88-01325,,2019-03-26,응용 소프트웨어 개발 및 공급업,0,"서울 강남구 봉은사로 115, 6층 (논현동,노벨테크빌딩)","6,777","4,197","1,833","4,340","1,433","-1,368",748,574,632,"-2,648","-4,992","-3,402","-2,582","-4,906","-3,502", 자기자본 전액 잠식 & 당기순이익 연속 2개년 부 , E10 , - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,380,282,(주)두물머리투자자문,미평가,373-87-01062,송락현,2018-04-19,투자 자문업 및 투자 일임업,2,"서울 강남구 테헤란로 322 서관 1101호 (역삼동,한신인터밸리)", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,381,283,(주)큐뱅,,502-86-32865,-,2014-05-27,응용 소프트웨어 개발 및 공급업,13,"서울 강남구 언주로172길 7, 5층 501호 (신사동,대명빌딩)","9,910", - ,"11,776","5,491", - ,"5,201",99, - ,18,-649, - ,"-2,261",-659, - ,"-1,950", - , E8 , - ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,382,284,(주)링크플러스온,,698-88-01274,백승현,2019-03-11,전자카드 제조업,4,"서울특별시 중구 청계천로 40 815호(다동, 한국관광공사 서울센터)",524,547,600,-591,-948,"-1,242",326,341,501,-486,-474,-244,-439,-387,-293, 자기자본 전액 잠식 & 당기순이익 연속 2개년 부 , E9 ,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,383,285,(주)하렉스인포텍,,210-81-27828,박경양,2000-01-20,응용 소프트웨어 개발 및 공급업,1,서울 중구 퇴계로 202 (필동2가),"6,557", - ,"1,033","3,352", - ,"-1,828",251, - ,317,"-10,185", - ,"-3,265","-10,362", - ,"-3,251", - , E6 , - ,4,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,384,286,(주)에이티소프트,,371-81-01064,박호성,2018-03-02,응용 소프트웨어 개발 및 공급업,3,"서울 금천구 가산디지털1로 128, 1105호 (가산동,에스티엑스브이타워)","1,006", - ,937,732, - ,844,"1,103", - ,"1,117",187, - ,32,227, - ,5, - , E3 , - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,385,287,(주)마이크로프로텍트,,146-86-01731,권상민,2019-07-12,컴퓨터시스템 통합 자문 및 구축 서비스업,18,"서울특별시 강남구 테헤란로44길 8 ,15층 (역삼동)",747,647,"1,369","-3,229","-3,069","-6,163",190,349,"2,040","-5,151","-1,771","-2,698","-6,367","-2,318","-3,093", 자기자본 전액 잠식 & 당기순이익 연속 2개년 부 , E8 , - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,386,288,(주)카사코리아,미평가,368-86-01253,-,2018-05-02,전자상거래 소매 중개업,28,-, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,7,1,1,1,1,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,387,289,(주)더즌,,378-88-00880,조철한,2017-11-23,그 외 기타 전기 통신업,148,서울특별시 서초구 강남대로 465 (서초동) 강남교보타워 A,"67,881","95,243","115,671","17,985","30,431","41,378","29,590","42,120","62,699","10,280","10,736","10,332","9,556","11,364","10,348", - , E2 , - ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,388,290,(주)소셜인프라테크,,423-86-01623,전명산,2019-11-12,시스템 소프트웨어 개발 및 공급업,8,제주특별자치도 제주시 수목원길 39-1 (연동) 1층,"3,558","2,457","2,820","1,039",981,682,"2,525","1,220","1,890",-173,-726,-267,12,-558,-299, - , E10 , - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,389,291,(주)바넷정보기술,,107-86-05746,이창하,2001-09-15,시스템 소프트웨어 개발 및 공급업,32,"서울 금천구 벚꽃로 298 (가산동)대륭포스트타워6차 1206호, 1207호","8,168","6,680","6,408","2,266","2,628","3,071","12,468","12,387","10,963",498,755,621,271,541,443, - , E7 ,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,391,292,(주)피노텍,신용관리정보 보유,120-87-34203,-,2008-11-13,응용 소프트웨어 개발 및 공급업,15,"서울 서초구 양재천로9길 1, 3층 (양재동,용두빌딩)","6,952","4,685","5,338","-11,675","-10,567","-11,454","10,428","7,630","6,086","-2,757","-1,316","-1,926","-10,082","1,107",-887, - , E10 , - ,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,
창업지원부,편람_2025,392,293,(주)고위드,,261-81-25793,김향기,2015-02-10,경영컨설팅업,70,"서울특별시 강남구 도산대로 317 , 14층(신사동)","166,250","117,581","131,569","140,105","113,640","114,621","2,841","6,804","149,341","-3,940","-3,064","3,018","54,074","2,806",553, - , E4 , - ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창업지원부,편람_2025,393,294,(주)핀테크,미평가,113-86-53976,-,2011-11-16,컴퓨터 프로그래밍 서비스업,21,"서울특별시 영등포구 여의도동 여의대로 24 43층 (여의도동,전국경제인연합회회관)", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,15,1,1,1,1,1,1,1,,,,,,,1,,,,1,,,,,,,,,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
